Species	metabolites	activity	Ref. #	KEGG_ID	STRING_name_compact	Score	Stringdb	taxon_id	MolecularWeight	LogP	HBD	HBA
Roseburia intestinalis	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	import:36;export:178, 258, 385(G)	C00186	Roseburia intestinalis	100	v12	166486	90.078	-0.5482	2.0	2.0
Roseburia intestinalis	Propanoate (Propionate)	Production (export)	38(G)	C00163	Roseburia intestinalis	100	v12	166486	74.07900000000001	0.4809999999999999	1.0	1.0
Roseburia intestinalis	Fructan (Inulin, Levan)	Macromolecule degradation	36	C01355	Roseburia intestinalis	100	v12	166486	504.4380000000004	-7.568200000000004	11.0	16.0
Roseburia intestinalis	Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)	Macromolecule degradation	79, 258, 259	C00317	Roseburia intestinalis	100	v12	166486	828.7199999999999	-11.924600000000012	17.0	26.0
Roseburia inulinivorans	Acetate	Consumption (import)	37, 38, 679(G)	C00033	Roseburia inulinivorans	100	v12	360807	60.05200000000001	0.0908999999999999	1.0	1.0
Roseburia inulinivorans	L-Fucose	Consumption (import)	38, 78, 148, 378	C01019	Roseburia inulinivorans	100	v12	360807	164.15699999999998	-2.1938	4.0	5.0
Roseburia inulinivorans	Linoleic acid (Omega-6 fatty acid)	Consumption (import)	38(G)	C01595	Roseburia inulinivorans	100	v12	360807	280.452	5.884500000000005	1.0	1.0
Roseburia inulinivorans	Butyrate	Production (export)	37, 38, 78, 148, 378, 385(G), 679(G)	C00246	Roseburia inulinivorans	100	v12	360807	88.106	0.8711	1.0	1.0
Roseburia inulinivorans	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	385(G)	C00186	Roseburia inulinivorans	100	v12	360807	90.078	-0.5482	2.0	2.0
Roseburia inulinivorans	Propanoate (Propionate)	Production (export)	38, 78, 378, 38(G)	C00163	Roseburia inulinivorans	100	v12	360807	74.07900000000001	0.4809999999999999	1.0	1.0
Roseburia inulinivorans	Propanol (n-propanol, 1-Propanol)	Production (export)	38, 78	C05979	Roseburia inulinivorans	100	v12	360807	60.096	0.3887	1.0	1.0
Roseburia inulinivorans	Fructan (Inulin, Levan)	Macromolecule degradation	78, 79, 148, 551	C01355	Roseburia inulinivorans	100	v12	360807	504.4380000000004	-7.568200000000004	11.0	16.0
Roseburia inulinivorans	Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)	Macromolecule degradation	78, 79, 148, 551	C00317	Roseburia inulinivorans	100	v12	360807	828.7199999999999	-11.924600000000012	17.0	26.0
Roseobacter denitrificans	L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)	Consumption (import)	379	C00149	Roseobacter denitrificans	100	v12	375451	134.087	-1.0934	3.0	3.0
Roseobacter denitrificans	Succinate	Consumption (import)	379	C00042	Roseobacter denitrificans	100	v12	375451	118.08799999999998	-0.0642	2.0	2.0
Ruminiclostridium cellobioparum	Cellobiose	Consumption (import)	469, 645	C00185	Ruminiclostridium cellobioparum	100	v12	1195236	342.2970000000001	-5.397199999999993	8.0	11.0
Ruminiclostridium cellobioparum	D-Fructose (Fructose)	Consumption (import)	469	C00095	Ruminiclostridium cellobioparum	100	v12	1195236	180.156	-3.2198	5.0	6.0
Ruminiclostridium cellobioparum	D-Galactose	Consumption (import)	469	C00124	Ruminiclostridium cellobioparum	100	v12	1195236	180.156	-3.2214	5.0	6.0
Ruminiclostridium cellobioparum	D-Glucose (Glucose)	Consumption (import)	469	C00031	Ruminiclostridium cellobioparum	100	v12	1195236	180.156	-3.2214	5.0	6.0
Ruminiclostridium cellobioparum	D-Mannitol (Mannitol)	Consumption (import)	469	C00392	Ruminiclostridium cellobioparum	100	v12	1195236	182.17200000000005	-3.5853999999999986	6.0	6.0
Ruminiclostridium cellobioparum	D-Mannose (Mannose)	Consumption (import)	469	C00159	Ruminiclostridium cellobioparum	100	v12	1195236	180.156	-3.2214	5.0	6.0
Ruminiclostridium cellobioparum	D-Ribose (Ribose)	Consumption (import)	469	C00121	Ruminiclostridium cellobioparum	100	v12	1195236	150.13	-2.5823	4.0	5.0
Ruminiclostridium cellobioparum	D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)	Consumption (import)	469	C00794	Ruminiclostridium cellobioparum	100	v12	1195236	182.17200000000005	-3.5853999999999986	6.0	6.0
Ruminiclostridium cellobioparum	D-Xylose (Xylose)	Consumption (import)	469	C00181	Ruminiclostridium cellobioparum	100	v12	1195236	150.13	-2.5823	4.0	5.0
Ruminiclostridium cellobioparum	Glycerol	Consumption (import)	469	C00116	Ruminiclostridium cellobioparum	100	v12	1195236	92.094	-1.6681	3.0	3.0
Ruminiclostridium cellobioparum	L-Sorbose (Sorbose)	Consumption (import)	469	C00247	Ruminiclostridium cellobioparum	100	v12	1195236	180.156	-3.2198	5.0	6.0
Ruminiclostridium cellobioparum	Lactose	Consumption (import)	469	C00243	Ruminiclostridium cellobioparum	100	v12	1195236	342.2970000000001	-5.397199999999993	8.0	11.0
Ruminiclostridium cellobioparum	Maltose	Consumption (import)	469	C00208	Ruminiclostridium cellobioparum	100	v12	1195236	342.2970000000001	-5.397199999999993	8.0	11.0
Ruminiclostridium cellobioparum	Melibiose	Consumption (import)	469	C05402	Ruminiclostridium cellobioparum	100	v12	1195236	342.297	-5.397199999999993	8.0	11.0
Ruminiclostridium cellobioparum	Acetate	Production (export)	469, 645	C00033	Ruminiclostridium cellobioparum	100	v12	1195236	60.05200000000001	0.0908999999999999	1.0	1.0
Ruminiclostridium cellobioparum	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	645	C00186	Ruminiclostridium cellobioparum	100	v12	1195236	90.078	-0.5482	2.0	2.0
Ruminiclostridium cellobioparum	Cellulose (Beta-D-glucan)	Macromolecule degradation	469, 645	C00760	Ruminiclostridium cellobioparum	100	v12	1195236	162.141	-1.7559000000000002	3.0	5.0
Ruminiclostridium cellulolyticum	Cellobiose	Consumption (import)	194, 202	C00185	Ruminiclostridium cellulolyticum	100	v12	394503	342.2970000000001	-5.397199999999993	8.0	11.0
Ruminiclostridium cellulolyticum	D-Glucose (Glucose)	Consumption (import)	194	C00031	Ruminiclostridium cellulolyticum	100	v12	394503	180.156	-3.2214	5.0	6.0
Ruminiclostridium cellulolyticum	Acetate	Production (export)	194, 202	C00033	Ruminiclostridium cellulolyticum	100	v12	394503	60.05200000000001	0.0908999999999999	1.0	1.0
Ruminiclostridium cellulolyticum	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	194, 202	C00186	Ruminiclostridium cellulolyticum	100	v12	394503	90.078	-0.5482	2.0	2.0
Ruminiclostridium cellulolyticum	Pyruvate	Production (export)	194	C00022	Ruminiclostridium cellulolyticum	100	v12	394503	88.062	-0.3400000000000001	1.0	2.0
Ruminiclostridium cellulolyticum	Cellulose (Beta-D-glucan)	Macromolecule degradation	1, 2, 194, 202	C00760	Ruminiclostridium cellulolyticum	100	v12	394503	162.141	-1.7559000000000002	3.0	5.0
Ruminiclostridium cellulolyticum	Pectin	Macromolecule degradation	194	C00714	Ruminiclostridium cellulolyticum	100	v12	394503	732.5500000000003	-7.737300000000007	10.0	22.0
Ruminiclostridium papyrosolvens	Cellobiose	Consumption (import)	752	C00185	Ruminiclostridium papyrosolvens C7	95	v12	1330534	342.2970000000001	-5.397199999999993	8.0	11.0
Ruminiclostridium papyrosolvens	D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	752	C00216	Ruminiclostridium papyrosolvens C7	95	v12	1330534	150.13	-2.5823	4.0	5.0
Ruminiclostridium papyrosolvens	D-Fructose (Fructose)	Consumption (import)	752	C00095	Ruminiclostridium papyrosolvens C7	95	v12	1330534	180.156	-3.2198	5.0	6.0
Ruminiclostridium papyrosolvens	D-Galactose	Consumption (import)	752	C00124	Ruminiclostridium papyrosolvens C7	95	v12	1330534	180.156	-3.2214	5.0	6.0
Ruminiclostridium papyrosolvens	D-Glucose (Glucose)	Consumption (import)	752	C00031	Ruminiclostridium papyrosolvens C7	95	v12	1330534	180.156	-3.2214	5.0	6.0
Ruminiclostridium papyrosolvens	D-Ribose (Ribose)	Consumption (import)	752	C00121	Ruminiclostridium papyrosolvens C7	95	v12	1330534	150.13	-2.5823	4.0	5.0
Ruminiclostridium papyrosolvens	D-Xylose (Xylose)	Consumption (import)	752	C00181	Ruminiclostridium papyrosolvens C7	95	v12	1330534	150.13	-2.5823	4.0	5.0
Ruminiclostridium papyrosolvens	Glycerol	Consumption (import)	752	C00116	Ruminiclostridium papyrosolvens C7	95	v12	1330534	92.094	-1.6681	3.0	3.0
Ruminiclostridium papyrosolvens	Acetate	Production (export)	752	C00033	Ruminiclostridium papyrosolvens C7	95	v12	1330534	60.05200000000001	0.0908999999999999	1.0	1.0
Ruminiclostridium papyrosolvens	Cellulose (Beta-D-glucan)	Macromolecule degradation	1, 752	C00760	Ruminiclostridium papyrosolvens C7	95	v12	1330534	162.141	-1.7559000000000002	3.0	5.0
Ruminococcus albus	2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	353	C18319	Ruminococcus albus 8	95	v12	246199	102.13299999999998	1.1171	1.0	1.0
Ruminococcus albus	4-Aminobenzoate (para-aminobenzoic acid, PABA, p-Aminobenzoate)	Consumption (import)	353	C00568	Ruminococcus albus 8	95	v12	246199	137.13799999999995	0.967	2.0	2.0
Ruminococcus albus	Biotin (Vitamin B7)	Consumption (import)	353	C00120	Ruminococcus albus 8	95	v12	246199	244.31599999999992	0.7968	3.0	3.0
Ruminococcus albus	Cellobiose	Consumption (import)	172, 180, 353	C00185	Ruminococcus albus 8	95	v12	246199	342.2970000000001	-5.397199999999993	8.0	11.0
Ruminococcus albus	D-Glucose (Glucose)	Consumption (import)	180, 204, 321	C00031	Ruminococcus albus 8	95	v12	246199	180.156	-3.2214	5.0	6.0
Ruminococcus albus	D-Psicose	Consumption (import)	108(G)	C06468	Ruminococcus albus 8	95	v12	246199	180.156	-3.2198	5.0	6.0
Ruminococcus albus	Isobutyrate (2-Methylpropanoic acid)	Consumption (import)	353	C02632	Ruminococcus albus 8	95	v12	246199	88.10599999999998	0.727	1.0	1.0
Ruminococcus albus	L-Asparagine (Asparagine)	Consumption (import)	384	C00152	Ruminococcus albus 8	95	v12	246199	132.11899999999997	-1.7262999999999993	3.0	3.0
